split,model,class,bin,lower_bound,upper_bound,observations,mean_probability,observed_rate,calibration_gap
validation,ensemble_market,A,4,0.30000000000000004,0.4,121,0.3445037697427208,0.3884297520661157,0.043925982323394897
validation,ensemble_market,A,5,0.4,0.5,85,0.4464305066650057,0.5058823529411764,0.05945184627617073
validation,ensemble_market,A,6,0.5,0.6000000000000001,43,0.5529576644708948,0.6744186046511628,0.12146094018026798
validation,ensemble_market,A,7,0.6000000000000001,0.7000000000000001,41,0.6448643086705418,0.5121951219512195,-0.13266918671932226
validation,ensemble_market,A,8,0.7000000000000001,0.8,12,0.7458325132876094,0.5833333333333334,-0.16249917995427599
validation,ensemble_market,A,9,0.8,0.9,3,0.8360696473605925,1.0,0.16393035263940747
validation,ensemble_sports,H,2,0.1,0.2,43,0.1727441682082396,0.13953488372093023,-0.033209284487309365
validation,ensemble_sports,H,3,0.2,0.30000000000000004,108,0.25884652636696326,0.16666666666666666,-0.0921798597002966
validation,ensemble_sports,H,4,0.30000000000000004,0.4,130,0.3506942108792829,0.3153846153846154,-0.0353095954946675
validation,ensemble_sports,H,5,0.4,0.5,180,0.4507283329598261,0.39444444444444443,-0.056283888515381686
validation,ensemble_sports,H,6,0.5,0.6000000000000001,133,0.5481179117158321,0.5037593984962406,-0.0443585132195915
validation,ensemble_sports,H,7,0.6000000000000001,0.7000000000000001,73,0.6469122786104436,0.7945205479452054,0.1476082693347618
validation,ensemble_sports,H,8,0.7000000000000001,0.8,75,0.7487405340416546,0.8133333333333334,0.06459279929167872
