split,model,class,bin,observations,mean_probability,observed_rate,calibration_gap
test,hist_boost_sports,H,6,52,0.5444109223120416,0.5769230769230769,0.03251215461103529
test,hist_boost_sports,H,7,45,0.6462720247031793,0.6888888888888889,0.042616864185709535
test,hist_boost_sports,H,8,31,0.7498885117124949,0.8064516129032258,0.056563101190730825
test,hist_boost_sports,H,9,5,0.8167013390895838,1.0,0.18329866091041624
test,hist_boost_sports,D,1,1,0.09914705384726408,0.0,-0.09914705384726408
test,hist_boost_sports,D,2,66,0.15926755891351718,0.19696969696969696,0.03770213805617978
test,hist_boost_sports,D,3,192,0.24914031789288182,0.23958333333333334,-0.009556984559548481
test,hist_boost_sports,D,4,94,0.3412275601584601,0.26595744680851063,-0.07527011334994949
test,hist_boost_sports,D,5,23,0.4424343321025541,0.34782608695652173,-0.09460824514603239
test,hist_boost_sports,D,6,4,0.5441955107213272,0.25,-0.2941955107213272
test,hist_boost_sports,A,1,23,0.07205791874683092,0.08695652173913043,0.014898602992299517
test,hist_boost_sports,A,2,114,0.1485333891153576,0.13157894736842105,-0.016954441746936555
test,hist_boost_sports,A,3,99,0.24997667384564878,0.30303030303030304,0.053053629184654255
test,hist_boost_sports,A,4,56,0.3511630586804339,0.25,-0.1011630586804339
test,hist_boost_sports,A,5,40,0.4574520549907882,0.4,-0.057452054990788204
test,hist_boost_sports,A,6,35,0.5445226628039557,0.42857142857142855,-0.11595123423252712
test,hist_boost_sports,A,7,12,0.6429748981562796,0.6666666666666666,0.023691768510387012
test,hist_boost_sports,A,8,1,0.7257912556099981,1.0,0.27420874439000187
test,random_forest_market,H,2,26,0.1716933698526843,0.23076923076923078,0.059075860916546485
test,random_forest_market,H,3,55,0.2475714867957492,0.23636363636363636,-0.011207850432112837
test,random_forest_market,H,4,71,0.3598497866172561,0.38028169014084506,0.02043190352358898
test,random_forest_market,H,5,105,0.4418726175396898,0.4857142857142857,0.043841668174595894
test,random_forest_market,H,6,52,0.550836070115148,0.5384615384615384,-0.012374531653609577
test,random_forest_market,H,7,25,0.6429849064886822,0.8,0.15701509351131782
test,random_forest_market,H,8,28,0.7562619657000633,0.8928571428571429,0.13659517715707958
test,random_forest_market,H,9,18,0.8188861676439294,0.8888888888888888,0.07000272124495943
test,random_forest_market,D,1,1,0.09969249787888941,0.0,-0.09969249787888941
test,random_forest_market,D,2,54,0.15136499952542734,0.1111111111111111,-0.040253888414316236
test,random_forest_market,D,3,201,0.2650359235810682,0.24378109452736318,-0.021254829053705016
test,random_forest_market,D,4,124,0.3174754040970285,0.3064516129032258,-0.011023791193802701
test,random_forest_market,A,1,44,0.07327745435740941,0.045454545454545456,-0.027822908902863958
test,random_forest_market,A,2,71,0.1572761635247859,0.18309859154929578,0.025822428024509875
test,random_forest_market,A,3,127,0.25380538365787453,0.2283464566929134,-0.02545892696496113
test,random_forest_market,A,4,53,0.3335076300838789,0.32075471698113206,-0.012752913102746843
test,random_forest_market,A,5,36,0.449003534963347,0.3333333333333333,-0.11567020163001368
test,random_forest_market,A,6,35,0.5386144557358684,0.6,0.061385544264131564
test,random_forest_market,A,7,14,0.6508561716198982,0.5,-0.15085617161989817
test,random_forest_sports,H,2,22,0.1812205201229371,0.22727272727272727,0.046052207149790164
test,random_forest_sports,H,3,58,0.24630117527271314,0.25862068965517243,0.01231951438245929
test,random_forest_sports,H,4,75,0.3599962706789309,0.4533333333333333,0.09333706265440239
test,random_forest_sports,H,5,101,0.44862921295757924,0.45544554455445546,0.006816331596876224
test,random_forest_sports,H,6,50,0.5410168045956597,0.52,-0.02101680459565969
test,random_forest_sports,H,7,33,0.6436594608637431,0.696969696969697,0.05331023610595387
test,random_forest_sports,H,8,27,0.7594395103624064,0.9259259259259259,0.1664864155635195
test,random_forest_sports,H,9,14,0.8212944829097737,0.8571428571428571,0.0358483742330834
test,random_forest_sports,D,2,45,0.1464997297784094,0.044444444444444446,-0.10205528533396493
test,random_forest_sports,D,3,228,0.2631533630892278,0.24561403508771928,-0.017539328001508536
test,random_forest_sports,D,4,107,0.3162830472361307,0.32710280373831774,0.010819756502187028
