split,model,class,bin,lower_bound,upper_bound,observations,mean_probability,observed_rate,calibration_gap
test,logistic_sports,D,4,0.30000000000000004,0.4,86,0.33460045078503126,0.2558139534883721,-0.07878649729665915
test,logistic_sports,D,5,0.4,0.5,10,0.43552392650692323,0.3,-0.13552392650692324
test,logistic_sports,A,1,0.0,0.1,52,0.0566098886559845,0.057692307692307696,0.0010824190363231956
test,logistic_sports,A,2,0.1,0.2,81,0.1481966346495497,0.1728395061728395,0.024642871523289783
test,logistic_sports,A,3,0.2,0.30000000000000004,89,0.24830079504977318,0.2696629213483146,0.021362126298541423
test,logistic_sports,A,4,0.30000000000000004,0.4,71,0.343350821072684,0.28169014084507044,-0.06166068022761356
test,logistic_sports,A,5,0.4,0.5,26,0.44397991256233016,0.4230769230769231,-0.020902989485407086
test,logistic_sports,A,6,0.5,0.6000000000000001,33,0.5470604835782058,0.3939393939393939,-0.15312108963881188
test,logistic_sports,A,7,0.6000000000000001,0.7000000000000001,16,0.6515463863761908,0.5,-0.15154638637619078
test,logistic_sports,A,8,0.7000000000000001,0.8,11,0.7446097220360137,0.6363636363636364,-0.10824608567237737
test,logistic_sports,A,9,0.8,0.9,1,0.8061732005498442,1.0,0.1938267994501558
test,market,H,1,0.0,0.1,3,0.09499080230600339,0.0,-0.09499080230600339
test,market,H,2,0.1,0.2,24,0.161717723833049,0.20833333333333334,0.046615609500284344
test,market,H,3,0.2,0.30000000000000004,36,0.2587074049848374,0.19444444444444445,-0.06426296054039296
test,market,H,4,0.30000000000000004,0.4,97,0.3575376039648589,0.4329896907216495,0.0754520867567906
test,market,H,5,0.4,0.5,103,0.4445973495010554,0.4854368932038835,0.04083954370282811
test,market,H,6,0.5,0.6000000000000001,55,0.5428615435668601,0.5272727272727272,-0.01558881629413289
test,market,H,7,0.6000000000000001,0.7000000000000001,27,0.6405325824909284,0.8148148148148148,0.1742822323238864
test,market,H,8,0.7000000000000001,0.8,29,0.7577982695538938,0.8620689655172413,0.10427069596334748
test,market,H,9,0.8,0.9,6,0.8267268327209388,1.0,0.17327316727906117
test,market,D,1,0.0,0.1,2,0.0941548272358187,0.0,-0.0941548272358187
test,market,D,2,0.1,0.2,50,0.15978323069346984,0.1,-0.05978323069346983
test,market,D,3,0.2,0.30000000000000004,253,0.2657092543617909,0.25691699604743085,-0.008792258314360035
test,market,D,4,0.30000000000000004,0.4,75,0.31277132503962757,0.30666666666666664,-0.006104658372960925
test,market,A,1,0.0,0.1,28,0.07767994230278738,0.03571428571428571,-0.04196565658850167
test,market,A,2,0.1,0.2,57,0.15543034471799314,0.17543859649122806,0.020008251773234925
test,market,A,3,0.2,0.30000000000000004,137,0.2520559739424253,0.21897810218978103,-0.03307787175264426
test,market,A,4,0.30000000000000004,0.4,88,0.34413503720373884,0.29545454545454547,-0.048680491749193366
test,market,A,5,0.4,0.5,30,0.4370779703950102,0.36666666666666664,-0.07041130372834353
test,market,A,6,0.5,0.6000000000000001,22,0.5485994940381486,0.6363636363636364,0.08776414232548779
test,market,A,7,0.6000000000000001,0.7000000000000001,13,0.6460473077040098,0.3076923076923077,-0.33835500001170205
test,market,A,8,0.7000000000000001,0.8,5,0.7334721965353619,1.0,0.2665278034646381
validation,elo_multinomial,H,1,0.0,0.1,9,0.07462125522839119,0.1111111111111111,0.03648985588271991
validation,elo_multinomial,H,2,0.1,0.2,64,0.15209402169116182,0.15625,0.004155978308838182
validation,elo_multinomial,H,3,0.2,0.30000000000000004,93,0.2501933509957351,0.1935483870967742,-0.0566449638989609
validation,elo_multinomial,H,4,0.30000000000000004,0.4,128,0.3508185977089999,0.3125,-0.038318597708999924
validation,elo_multinomial,H,5,0.4,0.5,160,0.4508949248275673,0.43125,-0.0196449248275673
validation,elo_multinomial,H,6,0.5,0.6000000000000001,143,0.5501678082953139,0.5174825174825175,-0.032685290812796364
validation,elo_multinomial,H,7,0.6000000000000001,0.7000000000000001,80,0.6485138372632366,0.6875,0.03898616273676336
validation,elo_multinomial,H,8,0.7000000000000001,0.8,67,0.7425344016541899,0.835820895522388,0.0932864938681981
validation,elo_multinomial,H,9,0.8,0.9,16,0.8248341074337853,0.8125,-0.012334107433785269
validation,elo_multinomial,D,2,0.1,0.2,72,0.1703526891073644,0.09722222222222222,-0.07313046688514217
validation,elo_multinomial,D,3,0.2,0.30000000000000004,688,0.26891524412383894,0.2863372093023256,0.017421965178486654
validation,elo_multinomial,A,1,0.0,0.1,96,0.06982456299351755,0.052083333333333336,-0.017741229660184217
validation,elo_multinomial,A,2,0.1,0.2,163,0.15670687571859526,0.1656441717791411,0.00893729606054583
validation,elo_multinomial,A,3,0.2,0.30000000000000004,195,0.25006339067856753,0.23076923076923078,-0.01929415990933675
validation,elo_multinomial,A,4,0.30000000000000004,0.4,128,0.3476843884606872,0.359375,0.011690611539312779
validation,elo_multinomial,A,5,0.4,0.5,87,0.44750546957345166,0.5402298850574713,0.0927244154840196
validation,elo_multinomial,A,6,0.5,0.6000000000000001,53,0.5479861922129977,0.49056603773584906,-0.057420154477148655
validation,elo_multinomial,A,7,0.6000000000000001,0.7000000000000001,32,0.6411041317015782,0.625,-0.016104131701578206
validation,elo_multinomial,A,8,0.7000000000000001,0.8,5,0.7386340018310432,0.6,-0.13863400183104324
validation,elo_multinomial,A,9,0.8,0.9,1,0.8000174643702483,1.0,0.19998253562975166
validation,historical_frequency,H,5,0.4,0.5,760,0.4528665413533834,0.4421052631578947,-0.010761278195488666
validation,historical_frequency,D,3,0.2,0.30000000000000004,760,0.26395676691729325,0.26842105263157895,0.004464285714285698
validation,historical_frequency,A,3,0.2,0.30000000000000004,760,0.2831766917293233,0.2894736842105263,0.006296992481203023
validation,logistic_market,H,1,0.0,0.1,7,0.07451440424312482,0.0,-0.07451440424312482
